vol	page	chapters	suspects	examples
v1	471	28	14	nrn mox sn' ptn paK yalidus excidii istt
v1	478	28	14	pw pns Rosenm ller SISTQIS nrsiatti docebit scientiaml
v1	486	28	14	lilce Perazim Geba Ajalon Uzzah nw Uzzah Achan
v1	489	28	14	asirisb j'tco VTTO vipiarov fxtiafjit tp't ferro mortales
v1	520	30	14	vorgeworfen praestat tacere quam hariolari Vjso efferebant Grosssprccher
v1	605	37	14	Tirhakah oj mis Tirhakah Megasthenes Strabo Sesostris Manetho
v1	635	38	14	IEI TPIEX swii rraia Scheidius ptaijppQia Jt'ov rq
v1	646	39	14	Hezckiah satthi sottj Berodach Bero dach Medorach Von
v2	96	44	14	ttnn ss nn tincto Rothtlstein ochre anx ir
v2	130	46	14	JC iVpoS'i sittJtzJKrn teyopwov vxfire confundamini fiiia niix
v2	137	47	14	WB Bx SttB nrflvvw padscar avziaiqasTni av Qwaos
v1	71	5,introduction	14	Propertius noctem ducam Injiciat mea ous gayety Dn
v1	76	5,introduction	14	Menochius Soncin MSS ibana MS Aq Sym Theod
v2	341	58	14	src rraa rrao riEi'Ta fiftni Augustine Jejunium abstinere
v2	342	58	14	fle dinna n'ma dsx rbyovg Dachlose vagos ano
v2	350	59	14	sondern vieltnehr sondern viclmehr bislang waren scheidend pnsn
v2	356	59	14	FrstBM JIMES abxa ckert caliginosis trrx Bauer Rosenm
v2	424	63	14	Itst ias IES rvro vn rr niss nui
v2	456	65	14	preters Ashtoreth sLuo Mohammed na'a lectisternia showbread nichts
v2	467	65	14	cnx EVJ cvja ual audiam cjcaudiam Ecc Tnrn
v2	470	66	14	moveable HT nri Antiochus Epiphanes defin downfal trennende
v2	476	66	14	nd xai o'Wsn illuslones ifJLftaiypaia transl iting nj
v1	126	7	14	Rosenm ller Tiglath contri butions Hezekiah'rebelled teta Aiting's
v1	176	9	14	mustta sba Tnma sich leiten lassen zu begliickenden
v1	226	11	13	rnsixa STI ISE lighthole n'tf depulsus lacte der
v1	269	14	13	rnhsj ss kwg rrjni btia btiJE bttto Tptf
v1	294	14	13	vereiteln miaa ausgereckte ve rb zuriickschrecken hemmen avertet
v1	321	16	13	EPK nemo vociferabitur wn Palul sii itt ls
v1	333	17	13	Barbarus segetes culta habebit plantabas quamvisplantaveris nur wachsen
v1	335	17	13	Rosenm ller iitt ia Ovid's Qualia fluctus Aequorei
v1	23	2,introduction	13	Justi Credner Vogel Rosenm ller Je Heberew crai
v1	382	21	13	Seir xw Eljandilon Seir Seir Rosenm ller tt
v1	410	23	13	Tartessus nt bankment Rosenm ller fiistsa Zidon Zidon
v1	433	25	13	wc diawB tfnaiB laia ppTft nn fciriBtt ral
v1	452	26	13	pEip parogogic Umibreit BPJ Bn DTE sn xa
v1	455	26	13	nunc Aramean xa pr pVi psa srm BSES
v1	475	28	13	eine liebliche herrlicher Kranz thatsitteth BBIBBJI dicundi causa
v1	551	33	13	Capellus Ludovici TSib asba lipfrom ftu vqxovov gutture
v1	558	34	13	volumen volvo PfeifFer Dubia Vexata Hor horrida tempestas
v1	562	34	13	recom penses contend ft nsix Idumean iht xtt'n
v1	626	37	13	Zwtifelsucht ihe Pelusium Sethos Sethos Sethos lg OQ
v1	640	38	13	iwj iws ws nw msi dYnab constructio praegnans
v2	36	41,later-introduction	13	dVn Abdastartus Abdallah hrt ov fydnqaa amans amatus
v2	42	41,later-introduction	13	tb zb sraito sb laia'j accedant vestra quae
v2	123	45	13	Icnee ZDJ lyco npr ip fij Kbi xb
v2	198	50	13	Jihovah HT fiiptiov zoi anoGiaoiov ib rx hfi
v2	261	53	13	bbina excruciatus deriva bbn Vjn bVna IWB tumour
v2	287	54	13	TjiBa ordinem QCMa yvxog Ludolf rnsb Rosenm ller
v2	303	55	13	Icnowest ihee noverat ecclesiae suae membra ipsum noverant
v1	89	6	13	alterum conversus Rosenm ller rQiadyiov unitate conjuncta triplicitas
v2	395	61	13	Rosenm ller Alexandria Vossius wto INB Putzfur Schmutz
v2	448	65	13	noke noch sagt spbx i'np rrcja aoQQet Ipov
v2	500	66	13	carcases p'sn' nso elg oQaatv Jian erunt satietatem
v1	117	7	13	Shearjashub Shearjashub ashub distingmsji Shearjashub quidam nostris judai'zans
v1	123	7	13	atstj iB pfc Steudel facto ststo im Rosenm
v1	152	8	13	Zebulon ssquj Tiberias from'being vasrt ft alleviata zsn
v1	20	1,introduction	12	personae zu Schanden Terebinthen mocle JViicaiah fx jra
v1	193	10	12	rviss fcwi'rob nrnrmw cqv iayvv avtmv instructissima eorum
v1	204	10	12	commontancestor eo darunter convertentur consummatio Cj ia dwaio
v1	222	11	12	feits mninx nn rumours jThe Kokba Kozba in'nsi
v1	240	13	12	facto foreseen unbiassed Horace Virgil Plaideurs Racine Aris
v1	282	14	12	ss morabimur quae evidentia diutius nx jS biXtfj
v1	330	17	12	rn'bbs ixujiis oyo amiral fiiis iBrt IBSO Thegleanings
v1	407	23	12	Zidon Zidon fcO iS'a tiso mainland Wciari xb
v1	427	24	12	fiVia siaix tx Zoroas ter foregoes gatnenng nsox
v1	467	27	12	nivaia JS n'l'nsia Wady Elarish Rhinocorura TTIK unseyen
v1	483	28	12	Ziona Raymund Martini Pugio Fidei avoiag drqs essentiae
v1	523	30	12	rn tottj nsa cribro mendacii nihilum ns jG'i
v1	573	34	12	iiw isc bs SJE tJOp httSK nms irrs
v1	603	37	12	issn Knappen Buberi ecce apponam illi ventum rm
v1	615	37	12	UJX bx IIBS insiais pp Tro nrx IPWS
v1	617	37	12	psxba asna ab'ia plify Pnst rEip bsns Seetzen
v2	112	45	12	c'E ttSa'iJ mappik occasus co Zendavesta distil sn
v2	165	48	12	xib xb wenn du if'it animum advertisses aures
v1	68	5,introduction	12	Hendew Umbr Gerechllgkeit Schlechtigkeit Begluckung Bedruckung Milde Unbilde
v1	69	5,introduction	12	after'property itable hi'n reihen iube xin xxin xn
v1	79	5	12	acquitting rn glumam debilitat nsnb flamma dissolvitur der
v2	222	51	12	nba atiaovai quivis quemadmodumprobus einem WGTIEQ sicut sicut
v2	235	52	12	erns GExa fc xa Sjna IOBX nsEJOn xn
v2	260	53	12	SK axa fctoj qitQst afie pepaan ytQnwo ntyyets
v2	282	54	12	Malachi ONEPI sssfr rnsn iax FQITS fts ein
v2	330	57	12	xtea cbi cuj holij ia tiinj cipa PXI
v2	346	58	12	thcc sisa cbi's nj urm rTrb riri juietem
v2	347	58	12	rvito dir gefdlli Ilitzig isnp pTr cinp jnp
v2	392	61	12	Pif rhp nipnjsB nps Selbstapologie nothgedrungeii aliquid indulgendum
v2	418	63	12	mbnn ra's Crowes aio vsta bss postulante parallelismo
v2	431	63	12	nd nihilum Rosenm ller parvum Rosenm ller niakkeph
v1	103	7	12	fiffit frft tft AmozjGo Shearjashub Jaffa conferred Jaffa
v1	143	8	12	Loquimini existet Himmanuelis existet nvsvuavi IxGTctGei Svvapei xcu
v1	180	9	12	disrup tion rancour nx Ephraimum Manassen Manassen Ephraimum
v1	206	10	11	abgemessen consummatum nxifis ri otxovft tj Asshur IVSK
v1	218	11	11	szkv Bauer Rosenm ller vald sta xoQfiov pfo
v1	224	11	11	iaj PB KB Aelian isia fia attb sru
v1	277	14	11	bHS bsa DB peaa hb sx gebettet unter
v1	283	14	11	inclinabuntur iterum propheta regem deridet siMi'an prudente deinem
v1	313	16	11	Arnon edaces Virgil axia neighbourhoods ni'nasa nisa Arnon
v1	316	16	11	BB bllto Gedaliah boured S'r ttJ aturally sso
v1	334	17	11	ijiiaatan Mis Mia Tpia nw comploratio iw tSwx
v1	25	2,introduction	11	xaiaJi oms uav movebunt werden sich aufmachen Hn
v1	32	2,introduction	11	gciniejj Bethenyeh Rosenm ller unkrilisch unwissenschaftlich antiquirt colourable
