vol	page	chapter	n	suspects
v2	33	41	8	expositio→exposition violenta→violent quae→rule nihil→nail sani→sins praefert→prefer enallao→enallage p'ls→pass
v2	97	44	8	himstlf→himself homines→dominus necessario→necessary constructioncs→construction quam→quod rnsv→rest ecies→lies sugo→such
v2	98	44	8	tohn→then Horace→race Olim→omit eram→from Quum→quod faber→aben esse→less Deum→seem
v2	143	47	8	trustedst→trusted asch→each sicher→silver deiner→winer seeth→sees rrjn→ruin saidst→said hftst→host
v2	178	49	8	facie→race France→race France→race nlbx→nebo Syenc→seen Calmet→came Lassen→asses Thebes→thes
v1	83	5	8	quia→suit Arrian→syrian ovrag→oral tonb→gone tobt→that nimmt→night Raub→race ohne→wine
v2	267	53	8	sros→show Zwingle→single causa→case judicium→judicial nnib→nail ipsis→ibis adhaeret→adhere impuri→impure
v2	283	54	8	tjao→that Fluth→flat derber→member Herbe→were Groll→gill voll→holy appropria→appropriate tions→sins
v2	303	55	8	ihee→then noverat→covert suae→sake membra→member ipsum→issue noverant→covenant etiam→elam ipso→into
v2	373	60	8	Justi→must iibi→isai divina→giving atque→true shctlt→shalt Tautologie→tautology it'as→ideas pESi→less
v2	379	60	8	cmrmst→christ elende→blended Conjectur→conjecture Spain→span Baetis→bats Spain→span Spain→span Spain→span
v2	420	63	8	Melek→meet omni→omit eornm→form ovds→adds avro→also avioi→viol irnx→iron olim→omit
v1	129	7	8	smce→sake pspia→asia Ephrem→ephraim Syrus→syria nsND→used oben→then unten→unto Prophetae→prophet
v1	180	9	8	tion→then Ephraimum→ephraim Manassen→manasseh Manassen→manasseh Ephraimum→ephraim Tbes→this Hebr→head Proph→prov
v1	40	introduction	8	protesta→protect tion→then ignes→goes suppositos→supposition cineri→winer neccessary→necessary foresaw→forest Philo→hill
v1	4	1	7	tyvw→type filii→fill dwrj→dark irrite→rite ibrm→form aTtyM→atom qaav→baal
v1	259	13	7	nrsn→noun Lehrg→learn overthrew→overthrow overthrew→overthrow overthrew→overthrow overthrew→overthrow Strabo→straw
v1	284	14	7	orbem→order domum→doom paid→page Belus→ejus dbis→this isia→idea nothimg→noting
v1	302	15	7	meon→been Arnon→iron Maein→mean unpa→unto Arnon→iron Dimon→zion Diban→dial
v1	343	18	7	fifi→wife rniK→ruin I'aa→idea ncun→noun knives→gives misn→mean rnnj→rank
v1	395	22	7	Sochen→kocher regis→eggs confi→confine dant→part domo→door palais→alas KWOJ→know
v1	420	24	7	d'ha→data diia→data welkt→well wclkt→wilt fallt→fact rntn→into gentium→genius
v1	424	24	7	ibns→sins taja→data Jarch→each thejires→theirs Urim→from Calmet→came Hensler→hender
